text,label
I love this product,positive
This is amazing,positive
Absolutely fantastic experience,positive
Very good quality,positive
I am very happy with this,positive
Best purchase ever,positive
Highly recommended,positive
Works perfectly,positive
Superb performance,positive
I really like it,positive
Excellent service,positive
Very satisfied,positive
This made my day,positive
Worth every penny,positive
Amazing quality,positive
Loved it so much,positive
This is great,positive
Outstanding product,positive
Very useful and reliable,positive
Incredible experience,positive

I hate this product,negative
Worst experience ever,negative
Very bad quality,negative
I am very disappointed,negative
Waste of money,negative
Not worth it,negative
Terrible service,negative
I regret buying this,negative
Completely useless,negative
Very poor performance,negative
Awful experience,negative
This is horrible,negative
Extremely bad product,negative
Not good at all,negative
Very frustrating,negative
It broke quickly,negative
Low quality,negative
Do not buy this,negative
Very disappointing,negative
Worst purchase ever,negative

I absolutely love this item,positive
This is one of the best things I bought,positive
I am extremely happy with the results,positive
Fantastic and reliable product,positive
Very smooth experience,positive
Great value for money,positive
I would buy this again,positive
Highly efficient and useful,positive
Very impressive,positive
Top quality product,positive

This is not good,negative
Very poor build quality,negative
I am unhappy with this product,negative
Extremely disappointing experience,negative
It stopped working quickly,negative
Totally not worth the price,negative
Very cheap quality,negative
I will not recommend this,negative
Bad experience overall,negative
This product is terrible,negative
